Drug1,Drug2,cell,drug1_db,drug2_db,synergy
5-FU,BORTEZOMIB,A2058,DB00544,DB00188,-2.395
5-FU,DASATINIB,A2058,DB00544,DB01254,1.5075
5-FU,ERLOTINIB,A2058,DB00544,DB00530,8.2525
5-FU,GELDANAMYCIN,A2058,DB00544,DB02424,6.0575
5-FU,LAPATINIB,A2058,DB00544,DB01259,4.92
5-FU,SORAFENIB,A2058,DB00544,DB00398,11.155
5-FU,SUNITINIB,A2058,DB00544,DB01268,13.5325
BORTEZOMIB,DASATINIB,A2058,DB00188,DB01254,1.05
BORTEZOMIB,GELDANAMYCIN,A2058,DB00188,DB02424,3.5625
BORTEZOMIB,SORAFENIB,A2058,DB00188,DB00398,12.895
BORTEZOMIB,TOPOTECAN,A2058,DB00188,DB01030,2.6475
DASATINIB,GELDANAMYCIN,A2058,DB01254,DB02424,-1.815
DASATINIB,SORAFENIB,A2058,DB01254,DB00398,13.4575
DASATINIB,TOPOTECAN,A2058,DB01254,DB01030,2.4525
DEXAMETHASONE,BORTEZOMIB,A2058,DB01234,DB00188,5.385
DEXAMETHASONE,DASATINIB,A2058,DB01234,DB01254,2.6975
DEXAMETHASONE,ERLOTINIB,A2058,DB01234,DB00530,-0.9
DEXAMETHASONE,GELDANAMYCIN,A2058,DB01234,DB02424,11.3325
DEXAMETHASONE,LAPATINIB,A2058,DB01234,DB01259,4.18
DEXAMETHASONE,SORAFENIB,A2058,DB01234,DB00398,17.79
DEXAMETHASONE,SUNITINIB,A2058,DB01234,DB01268,16.935
DOXORUBICIN,BORTEZOMIB,A2058,DB00997,DB00188,-0.0825
DOXORUBICIN,DASATINIB,A2058,DB00997,DB01254,1.65
DOXORUBICIN,ERLOTINIB,A2058,DB00997,DB00530,0.31
DOXORUBICIN,GELDANAMYCIN,A2058,DB00997,DB02424,0.9525
DOXORUBICIN,LAPATINIB,A2058,DB00997,DB01259,3.115
DOXORUBICIN,SORAFENIB,A2058,DB00997,DB00398,-0.9275
DOXORUBICIN,SUNITINIB,A2058,DB00997,DB01268,-1.125
ERLOTINIB,BORTEZOMIB,A2058,DB00530,DB00188,-1.195
ERLOTINIB,DASATINIB,A2058,DB00530,DB01254,5.085
ERLOTINIB,GELDANAMYCIN,A2058,DB00530,DB02424,6.1575
ERLOTINIB,SORAFENIB,A2058,DB00530,DB00398,8.445
ERLOTINIB,TOPOTECAN,A2058,DB00530,DB01030,13.74
ETOPOSIDE,BORTEZOMIB,A2058,DB00773,DB00188,3.95
ETOPOSIDE,DASATINIB,A2058,DB00773,DB01254,-0.1675
ETOPOSIDE,ERLOTINIB,A2058,DB00773,DB00530,2.54
ETOPOSIDE,GELDANAMYCIN,A2058,DB00773,DB02424,9.53
ETOPOSIDE,LAPATINIB,A2058,DB00773,DB01259,3.5975
ETOPOSIDE,SORAFENIB,A2058,DB00773,DB00398,3.7175
ETOPOSIDE,SUNITINIB,A2058,DB00773,DB01268,3.4675
GELDANAMYCIN,SORAFENIB,A2058,DB02424,DB00398,16.7075
GELDANAMYCIN,TOPOTECAN,A2058,DB02424,DB01030,7.5
GEMCITABINE,BORTEZOMIB,A2058,DB00441,DB00188,10.09
GEMCITABINE,DASATINIB,A2058,DB00441,DB01254,2.7175
GEMCITABINE,ERLOTINIB,A2058,DB00441,DB00530,8.84
GEMCITABINE,GELDANAMYCIN,A2058,DB00441,DB02424,9.8775
GEMCITABINE,LAPATINIB,A2058,DB00441,DB01259,5.9925
GEMCITABINE,SORAFENIB,A2058,DB00441,DB00398,3.0975
GEMCITABINE,SUNITINIB,A2058,DB00441,DB01268,8.2875
LAPATINIB,BORTEZOMIB,A2058,DB01259,DB00188,1.7725
LAPATINIB,DASATINIB,A2058,DB01259,DB01254,7.1
LAPATINIB,ERLOTINIB,A2058,DB01259,DB00530,5.1075
LAPATINIB,GELDANAMYCIN,A2058,DB01259,DB02424,9.875
LAPATINIB,SORAFENIB,A2058,DB01259,DB00398,20.58
LAPATINIB,TOPOTECAN,A2058,DB01259,DB01030,10.4225
METFORMIN,BORTEZOMIB,A2058,DB00331,DB00188,2.6525
METFORMIN,DASATINIB,A2058,DB00331,DB01254,-0.5275
METFORMIN,ERLOTINIB,A2058,DB00331,DB00530,-0.415
METFORMIN,GELDANAMYCIN,A2058,DB00331,DB02424,10.9925
METFORMIN,LAPATINIB,A2058,DB00331,DB01259,4.47
METFORMIN,SORAFENIB,A2058,DB00331,DB00398,17.3525
METFORMIN,SUNITINIB,A2058,DB00331,DB01268,13.2575
METHOTREXATE,BORTEZOMIB,A2058,DB00563,DB00188,-2.4275
METHOTREXATE,DASATINIB,A2058,DB00563,DB01254,5.06
METHOTREXATE,ERLOTINIB,A2058,DB00563,DB00530,3.2875
METHOTREXATE,GELDANAMYCIN,A2058,DB00563,DB02424,-6.2425
METHOTREXATE,LAPATINIB,A2058,DB00563,DB01259,0.105
METHOTREXATE,SORAFENIB,A2058,DB00563,DB00398,1.55
METHOTREXATE,SUNITINIB,A2058,DB00563,DB01268,-2.5225
PACLITAXEL,BORTEZOMIB,A2058,DB01229,DB00188,2.1075
PACLITAXEL,DASATINIB,A2058,DB01229,DB01254,0.645
PACLITAXEL,ERLOTINIB,A2058,DB01229,DB00530,-2.2525
PACLITAXEL,GELDANAMYCIN,A2058,DB01229,DB02424,3.855
PACLITAXEL,LAPATINIB,A2058,DB01229,DB01259,0.375
PACLITAXEL,SORAFENIB,A2058,DB01229,DB00398,3.4675
PACLITAXEL,SUNITINIB,A2058,DB01229,DB01268,5.6075
SUNITINIB,BORTEZOMIB,A2058,DB01268,DB00188,5.2975
SUNITINIB,DASATINIB,A2058,DB01268,DB01254,16.3975
SUNITINIB,ERLOTINIB,A2058,DB01268,DB00530,14.34
SUNITINIB,GELDANAMYCIN,A2058,DB01268,DB02424,10.5975
SUNITINIB,LAPATINIB,A2058,DB01268,DB01259,24.8375
SUNITINIB,SORAFENIB,A2058,DB01268,DB00398,12.515
SUNITINIB,TOPOTECAN,A2058,DB01268,DB01030,3.2725
TOPOTECAN,SORAFENIB,A2058,DB01030,DB00398,8.77
VINBLASTINE,BORTEZOMIB,A2058,DB00570,DB00188,4.51
VINBLASTINE,DASATINIB,A2058,DB00570,DB01254,-1.2525
VINBLASTINE,ERLOTINIB,A2058,DB00570,DB00530,8.9775
METHOTREXATE,BORTEZOMIB,A2780,DB00563,DB00188,0.7725
METHOTREXATE,DASATINIB,A2780,DB00563,DB01254,2.15
METHOTREXATE,ERLOTINIB,A2780,DB00563,DB00530,2.595
METHOTREXATE,GELDANAMYCIN,A2780,DB00563,DB02424,-1.18
METHOTREXATE,LAPATINIB,A2780,DB00563,DB01259,2.33
METHOTREXATE,SORAFENIB,A2780,DB00563,DB00398,0.8175
METHOTREXATE,SUNITINIB,A2780,DB00563,DB01268,-0.14
PACLITAXEL,BORTEZOMIB,A2780,DB01229,DB00188,2.215
PACLITAXEL,DASATINIB,A2780,DB01229,DB01254,11.8525
PACLITAXEL,ERLOTINIB,A2780,DB01229,DB00530,4.1875
PACLITAXEL,GELDANAMYCIN,A2780,DB01229,DB02424,0.67
PACLITAXEL,LAPATINIB,A2780,DB01229,DB01259,5.665
PACLITAXEL,SORAFENIB,A2780,DB01229,DB00398,5.3925
PACLITAXEL,SUNITINIB,A2780,DB01229,DB01268,6.03
SUNITINIB,BORTEZOMIB,A2780,DB01268,DB00188,6.1425
SUNITINIB,DASATINIB,A2780,DB01268,DB01254,15.355
SUNITINIB,ERLOTINIB,A2780,DB01268,DB00530,12.2275
SUNITINIB,GELDANAMYCIN,A2780,DB01268,DB02424,6.17
SUNITINIB,LAPATINIB,A2780,DB01268,DB01259,17.3475
SUNITINIB,SORAFENIB,A2780,DB01268,DB00398,2.3625
SUNITINIB,TOPOTECAN,A2780,DB01268,DB01030,3.3675
TOPOTECAN,SORAFENIB,A2780,DB01030,DB00398,3.0325
VINBLASTINE,BORTEZOMIB,A2780,DB00570,DB00188,4.2425
VINBLASTINE,DASATINIB,A2780,DB00570,DB01254,9.4425
VINBLASTINE,ERLOTINIB,A2780,DB00570,DB00530,10.5925
VINBLASTINE,GELDANAMYCIN,A2780,DB00570,DB02424,3.0275
VINBLASTINE,LAPATINIB,A2780,DB00570,DB01259,8.0425
VINBLASTINE,SORAFENIB,A2780,DB00570,DB00398,5.5925
VINBLASTINE,SUNITINIB,A2780,DB00570,DB01268,6.3175
VINORELBINE,BORTEZOMIB,A2780,DB00361,DB00188,2.22
VINORELBINE,DASATINIB,A2780,DB00361,DB01254,6.845
VINORELBINE,ERLOTINIB,A2780,DB00361,DB00530,5.4375
VINORELBINE,GELDANAMYCIN,A2780,DB00361,DB02424,1.44
VINORELBINE,LAPATINIB,A2780,DB00361,DB01259,5.8925
